,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
17000,63,Dec 10,Krishna Prasad De,,,,,47
17001,63,Dec 10,E.J. Nanson,,,,,47
17002,63,Dec 10,"J.E.A. Steggall
[Corrected ET Jan 11]",,,,,22
17003,63,Dec 10,W. Gallatly,,,,,41
17004,64,Jan 11,Krishna Prasad De,C.E. Wright,64,Mar 11,95,67
17005,64,Jan 11,A. Del Re,,,,,25
17006,64,Jan 11,J.M. Child,,,,,8
17007,64,Jan 11,A. Cunningham,A. Cunningham,xx,xx,95,9
17008,64,Jan 11,B.A. Swinden,"J.E.A. Steggall
James Blaikie
T.W. Chaundy
B.A. Swinden","64
xx
xx
xx","Mar 11
xx
xx
xx","95
95
95
95",9
17009,64,Jan 11,K.S. Patrachari,,,,,48
17010,64,Jan 11,C.M. Ross,"Prof. Steggall
C.M. Ross","xx
xx","xx
xx","95
95",44
17011,64,Jan 11,M.T. Naraniengar,C.L. Beaven,64,May 11,95,48
17012,64,Jan 11,W.F. Beard,,,,,48
17013,64,Jan 11,S. Ganguli,,,,,48
17014,64,Jan 11,E. Hernández,E. Hernández,xx,xx,96,48
17015,64,Jan 11,W. Gallatly,W. Gallatly,xx,xx,96,41
17016,64,Jan 11,Prof. Cochez,,,,,47
17017,64,Jan 11,D. Biddle,R. Tata,64,Jun 11,95,44
17018,64,Jan 11,C.E. Youngman,,,,,44
17019,64,Jan 11,Prof. Neuberg,C.E. Youngman,xx,xx,97,41
17020,64,Jan 11,K.J. Sanjána,,,,,6
17021,64,Jan 11,E.J. Nanson,"Pulinbihari Das
F.E. Relton","64
64","Jun 11
Jun 11","95
95",31
17022,64,Feb 11,E.J. Nanson,B.A. Swinden,64,Sep 11,96,47
17023,64,Feb 11,R.L. Hippisley,R.L. Hippisley,64,May 11,95,11
17024,64,Feb 11,Arnold L. Atkin,Arnold L. Akin,64,Aug 11,96,61
17025,64,Feb 11,A. Cunningham,A. Cunningham,xx,xx,95,9
17026,64,Feb 11,D. Biddle,Constance I. Marks,64,Nov 11,96,9
17027,64,Feb 11,W.W. Rouse Ball,,,,,10
17028,64,Feb 11,"S.C. Gunning
[Corrected ET Mar 11]",W.J. Ashdown,64,May 11,95,1
17029,64,Feb 11,S. Ganguli,,,,,22
17030,64,Feb 11,Prof. Cochez,"N. Sankara Aiyar
C.E. Youngman","64
65","Oct 11
Jun 12","96
97",44
17031,64,Feb 11,Krishna Prasad De,C.E. Wright,64,Jul 11,96,48
17032,64,Feb 11,E. Hernández,,,,,48
17033,64,Feb 11,J. Hodgkinson,C.M. Ross,xx,xx,95,48
17034,64,Feb 11,F.G.W. Brown,W.J. Greenstreet,64,May 11,95,41
17035,64,Feb 11,C.M. Ross,"C.E. Wright
C.M. Ross","64
64","Jul 11
Jul 11","96
96",46
17036,64,Feb 11,K.J. Sanjána,C.E. Youngman,68,Feb 15,103,41
17037,64,Feb 11,Prof. Neuberg,"C.M. Ross
P.T. Stephenson
J. Neuberg","xx
xx
xx","xx
xx
xx","95
95
95",41
17038,64,Feb 11,W.F. Beard,,,,,41
17039,64,Feb 11,M.T. Naraniengar,"W.J. Greenstreet
C.M. Ross
F.G.W. Brown
E.G.C.","xx
xx
xx
xx","xx
xx
xx
xx","95
95
95
95",3
17040,64,Mar 11,D. Biddle,,,,,17
17041,64,Mar 11,c.b. C.M. Ross,"T.W. Chaundy
Arnold L. Atkin
C.M. Ross","xx
xx
xx","xx
xx
xx","96
96
96",6
17042,64,Mar 11,N. Sankara Aiyar,,,,,51
17043,64,Mar 11,A. Cunningham,A. Cunningham,xx,xx,95,9
17044,64,Mar 11,E.B. Escott,"E.B. Escott
W.F. Beard","64
64","Jun 11
Jun 11","95
95",22
17045,64,Mar 11,J.C. Swaminarayan,,,,,62
17046,64,Mar 11,D. Edwardes,,,,,22
17047,64,Mar 11,B.A. Swinden,,,,,44
17048,64,Mar 11,Pulinbihari Das,,,,,44
17049,64,Mar 11,C.E. Youngman,C.E. Youngman,xx,xx,98,44
,,,,,,,,
,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
17050,64,Mar 11,E.J. Nanson,,,,,48
17051,64,Mar 11,M.T. Naraniengar,,,,,48
17052,64,Mar 11,Prof. Neuberg,"W.J., Greenstreet
C.M. Ross
Edith J.D. Morrison","64
64
64","Nov 11
Nov 11
Nov 11","96
96
96",41
17053,64,Mar 11,W.F. Beard,W.F. Beard,64,Jul 11,96,52
17054,64,Mar 11,R.F. Davis,,,,,41
17055,64,Mar 11,K.S. Patrachari,"F.W. Reeves
E.H. Chapman
A.M. Nesbitt","64
64
64","Aug 11
Aug 11
Aug 11","96
96
96",41
17056,64,Mar 11,K.J. Sanjána,,,,,41
17057,64,Mar 11,Pulinbihari Das,J.C. Swaminarayan,66,Aug 13,100,41
17058,64,Apr 11,R.L. Hippisley,R.L. Hippisley,64,Aug 11,96,47
17059,64,Apr 11,c.b. N.H. Jones,,,,,25
17060,64,Apr 11,E.J. Nanson,,,,,9
17061,64,Apr 11,C.M. Ross,"W.F. Beard
C.M. Ross
R.L. Hippisley","64
64
64","Jun 11
Jun 11
Jun 11","95
95
95",25
17062,64,Apr 11,A. Cunningham,A. Cunningham,64,Jun 11,95,2
17063,64,Apr 11,J.J. Barniville,A. Cunningham,64,Aug 11,96,6
17064,64,Apr 11,E.G.B. Bergholt,"W.J. Ashdown
B.C. Wallis","64
64","Jul 11
Jul 11","96
96",2
17065,64,Apr 11,A.M. Nesbitt,"W.F. Beard
J.C. Swaminarayan
A.M. Nesbitt","xx
xx
xx","xx
xx
xx","98
98
98",6
