,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
16000,59,May 06,Prof. Lauvernay,"W.F. Beard
K.J. Sanjána
C.M. Ross
Henry Riddell","xx
xx
xx
xx","xx
xx
xx
xx","86
86
86
86",52
16001,59,May 06,D. Biddle,C.E. Youngman,xx,xx,86,47
16002,59,May 06,W.F. Beard,W.F. Beard,xx,xx,86,41
16003,59,Jun 06,R.W.D. Christie,,,,,17
16004,59,Jun 06,A. Holm,,,,,9
16005,59,Jun 06,A. Cunningham,A. Cunningham,59,Aug 06,86,9
16006,59,Jun 06,K.J. Sanjána,,,,,9
16007,59,Jun 06,E.J. Nanson,"C.M. Ross
Hon. G.R. Dick
A.M. Nesbitt","xx
xx
xx","xx
xx
xx","86
88
88",22
16008,59,Jun 06,R. Chartres,R. Chartres,xx,xx,86,14
16009,59,Jun 06,H. Bateman,D.M.Y. Sommerville,xx,xx,86,46
16010,59,Jun 06,E.J. Nanson,H.M. Taylor,xx,xx,86,46
16011,59,Jun 06,Prof. Cochez,,,,,44
16012,59,Jun 06,Prof. Neuberg,"J. Hodgkinson
C.M. Ross","60
60","May 07
May 07","87
87",41
16013,59,Jun 06,W.F. Beard,"F.W. Reeves
K.J. Sanjána","xx
xx","xx
xx","86
86",41
16014,59,Jun 06,R.F. Davis,,,,,8
16015,59,Jun 06,W.A. Sleigh,,,,,41
16016,59,Jun 06,C.E. Youngman,"K.J. Sanjána
W.F. Beard
Henry Riddell","59
xx
xx","Aug 06
xx
xx","86
86
86",41
16017,59,Jun 06,S. Ganguli,"K.J. Sanjána
Henry Riddell","59
59","Sep 06
Sep 06","86
86",41
16018,59,Jun 06,A.M. Nesbitt,"K.J. Sanjána
C.M. Ross","xx
xx","xx
xx","86
86",41
16019,59,Jun 06,F.W. Reeves,"W.F. Beard
F.W. Reeves","xx
xx",xx\xx,"86
86",22
16020,59,Jun 06,A.W.T.,,,,,41
16021,59,Jul 06,H.L. Orchard,Charles W. O’Hara,59,Dec 06,86,11
16022,59,Jul 06,A.M. Nesbitt,,,,,20
16023,59,Jul 06,c.b. “Inquirer”,"C.E. Youngman
R. Chartres","62
62","Jul 09
Nov 09","92
92",13
16024,59,Jul 06,V. Ramaswami Aiyar,E.J. Nanson,61,Sep 08,90,62
16025,59,Jul 06,K.J. Sanjána,"Akhrur A. Engineer
C.M. Ross","59
59","Nov 06
Nov 06","86
86",68
16026,59,Jul 06,D.M.Y. Sommerville,,,,,96
16027,59,Jul 06,R.W.D. Christie,,,,,9
16028,59,Jul 06,Solidus,Constance I. Marks,xx,xx,87,63
16029,59,Jul 06,R. Chartres,R. Chartres,xx,xx,86,14
16030,59,Jul 06,E.J. Nanson,"J. Hodgkinson
C.M. Ross
E.J. Nanson","xx
xx
61","xx
xx
Feb 08","87
87
89",41
16031,59,Jul 06,Prof. Neuberg,"J. Hodgkinson
C.M. Ross","xx
xx","xx
xx","86
86",44
16032,59,Jul 06,H.L. Trachtenberg,"Hon. G.R. Dick
H.L. Trachtenberg
J. Hodgkinson
K.J. Sanjána","59
59
59
60","Dec 06
Dec 06
Dec 06
Jan 07","86
86
86
87",48
16033,59,Jul 06,J. Hodgkinson,J. Hodgkinson,xx,xx,87,45
16034,59,Jul 06,S. Ganguli,"Henry Riddell
F.W Reeves
C.M. Ross","xx
xx
xx","xx
xx
xx","87
87
87",41
16035,59,Jul 06,c.b. P.H. McCormack,"Henry Riddell
J. Blaikie
R, Chartres","59
59
59","Oct 06
Oct 06
Oct 06","86
86
86",41
16036,59,Jul 06,R.F. Davis,J. Blaikie,59,Nov 06,86,41
16037,59,Jul 06,W.F. Beard,,,,,41
16038,59,Jul 06,Prof. Cochez,"Emil Perelmutter
R.J. Whitaker
J. Hodgkinson","59
59
59","Oct 06
Oct 06
Oct 06","86
86
86",61
16039,59,Aug 06,H.J. Raymond,Henry Riddell,59,Oct 06,86,15
16040,59,Aug 06,W.J. Dobbs,A.H. Gillson,60,Jan 07,87,11
16041,59,Aug 06,K.J. Sanjána,,,,,61
16042,59,Aug 06,R.W.D. Christie,A. Cunningham,xx,xx,86,9
16043,59,Aug 06,V. Ramaswami Aiyar,,,,,62
16044,59,Aug 06,A. Cunningham,A. Cunningham,xx,xx,87,41
16045,59,Aug 06,J. Hodgkinson,J. Hodgkinson,59,Dec 06,86,44
16046,59,Aug 06,Prof. Neuberg,,,,,48
